Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-0.284640157,-0.115523028,1.185849959,0.668533243,0.21024926,0.164248292,0.21024926,0.164248292,0
0.375858478,0.317150302,-0.519262957,-0.077895655,0.143398357,0.112774627,0.143398357,0.112774627,0
-2.023142555,-0.942023525,3.011802351,1.778975883,-1.872171173,-0.836105625,2.84253575,1.691079501,12.64504
-2.045581596,-1.00492242,3.060358683,1.910807431,-2.195066107,-1.01296329,2.910498461,1.894658593,16.47091
-2.443409694,-1.141786416,3.401568531,2.081820568,-2.684941768,-1.112130757,3.256342192,2.120226452,18.76528
-3.472942139,-1.781529813,5.193928545,3.059762452,-3.747533526,-2.162403826,5.732388566,3.363238697,23.9022
-2.779443845,-1.394918011,4.231710865,2.466005396,-3.047271896,-1.550773118,4.448299199,2.680715405,19.27734
-0.372380628,-0.180972067,1.187147107,0.72150065,0.112375962,0.082908635,0.112375962,0.082908635,0
-2.938693523,-1.426703172,3.95419341,2.51709191,-2.902706387,-1.553363457,4.211295492,2.416508808,22.1605
-2.130313118,-0.885921248,2.362617386,1.654090725,-2.084051093,-0.772835649,1.993565226,1.661811371,18.59519
-3.232193533,-1.5569829,4.596454895,2.723864537,-3.730235438,-1.891694642,5.056051861,3.006602257,22.78467
-2.892103218,-1.302464638,3.445083773,2.266635359,-3.031225588,-1.143168352,2.425656279,2.207823778,24.59906
-2.555620147,-1.125180812,2.862998903,1.937916352,-2.085589085,-0.88332103,2.313730067,1.471289549,23.14051
-1.427644356,-0.526104924,1.4356011,1.082576893,-1.068381288,-0.425480942,1.585330415,1.056229812,14.60524
-0.269062639,-0.054310246,0.789100166,0.55023603,0.182942849,0.13739352,0.182942849,0.13739352,0
-3.898425445,-1.939535632,5.489812094,3.291964819,-4.683500766,-2.494098613,6.760468327,3.913148395,25.2657
-3.026121819,-1.465182756,4.281546915,2.584964385,-3.003802249,-1.518066137,4.329993436,2.491480583,22.52452
-3.174165884,-1.493123964,4.323980151,2.602715588,-3.599407958,-1.591540252,4.436536753,2.767467163,22.42667
-2.697724149,-1.266316241,3.620656334,2.281303068,-3.210780224,-1.359301244,3.68485714,2.65993646,18.9854
-0.210990133,-0.050415807,0.824014195,0.494389397,0.145269483,0.10736199,0.145269483,0.10736199,0
-1.833824221,-0.787258775,2.09870439,1.469685104,-1.917925029,-0.72860414,1.913055497,1.490460139,16.72554
