Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-1.565243838,-0.854569276,2.785227128,1.646358353,-1.84990379,-0.704973927,2.649164058,1.936540449,12.16571
-2.754345549,-1.329745429,3.631107931,2.400099953,-2.618944149,-1.428659253,3.96070232,2.322163698,19.47831
-0.722741419,-0.375137111,1.348826221,0.707097223,-1.184996237,-0.40790563,1.26143616,0.913759988,11.84652
0.249679083,0.106496806,0.275530541,0.09288892,0.096155672,0.064491759,0.096155672,0.064491759,0
-2.113939475,-0.902823773,2.621111723,1.687120927,-2.122449742,-0.81554579,2.331179726,1.565416089,17.56863
0.327244005,0.357104348,-0.459932819,-0.132389126,0.144268564,0.103563634,0.144268564,0.103563634,0
-3.181383904,-1.58036225,4.505423037,2.685208467,-3.494033222,-1.790123063,4.692727701,2.770020394,21.34079
-0.988770377,-0.275492965,1.073312903,0.707675748,-0.764885095,-0.271208534,1.67409313,0.919407344,10.51368
-2.244847141,-1.191814432,3.891396225,2.24760758,-2.292550357,-1.15636462,3.877495584,2.428422004,14.84204
-2.412802942,-1.067274517,2.965026908,1.827643002,-2.084179409,-0.891816777,2.649119766,1.519785448,21.26841
-2.832853475,-1.442254137,4.721274692,2.61922414,-3.180545061,-1.523394942,5.137728588,2.821523799,18.38702
-2.782265294,-1.398844102,3.894341265,2.470591189,-2.602672923,-1.500500004,3.929112948,2.377346781,21.39161
-1.464190843,-0.547561123,1.609026437,1.224291782,-1.467325978,-0.497073521,1.694473015,1.282996958,11.85647
-2.631916504,-1.144237949,3.381184711,2.178306374,-2.860105896,-1.139402667,3.305677756,2.200182302,17.39883
-3.280118905,-1.624935805,4.51161936,2.901858207,-3.456245664,-1.830257921,5.325984486,3.33994241,21.1653
-0.192828922,0.038823499,0.556942682,0.474411935,0.183953087,0.137458099,0.183953087,0.137458099,0
0.686059282,0.502680924,-0.970121928,-0.409491476,0.11859362,0.084244249,0.11859362,0.084244249,0
-3.394047998,-1.525968874,3.827253531,2.504358724,-3.239839108,-1.459393784,3.166242181,2.209166359,25.24894
-0.98724331,-0.316383431,0.860710839,0.761788881,-1.11229933,-0.315230129,1.240427695,0.910238729,12.0442
0.82151866,0.497219099,-0.797561108,-0.496383234,0.096186638,0.063509705,0.096186639,0.063509705,0
-2.729049055,-1.228171115,3.668902761,2.221697575,-2.880279872,-1.252032163,3.629430941,2.233913052,18.68697
-0.063971178,0.169399042,0.237240798,0.27693372,0.136606922,0.106508882,0.136606922,0.106508882,0
-2.544833584,-1.111007915,3.368364548,2.126018036,-2.727318999,-1.049485122,3.300209961,2.126364299,17.85419
0.332008868,0.404411318,-0.78684097,-0.059404447,0.139547393,0.109755384,0.139547393,0.109755384,0
-1.600864636,-0.653573495,1.708210505,1.392189466,-1.652036976,-0.587327788,1.653140215,1.426693095,12.83897
-0.174873633,0.011219192,0.923862011,0.599844323,0.160866088,0.12551459,0.160866088,0.12551459,0
-2.122304468,-1.173699111,3.801978714,2.079594174,-2.114705075,-1.106406488,3.806225786,2.258497371,14.88396
-2.45768655,-1.007550415,2.881170383,1.924453911,-2.582072269,-0.958599726,2.968267273,1.945973778,16.31875
