Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-2.233453688,-0.974392221,3.339190725,2.219496536,-2.191672154,-1.043475627,3.525913952,2.068811881,13.72082
-2.095948897,-0.979359567,2.499770482,1.580691003,-2.220475826,-1.169809359,2.378041452,1.879615943,25.71876
0.154517469,0.116365885,0.154517469,0.116365885,0.143882677,0.108440692,0.143882677,0.108440692,0
-1.216986008,-0.330971916,1.38137063,1.122693379,-1.231619401,-0.409107077,1.580652565,0.993389116,12.05251
-2.221342073,-0.920698899,2.288721005,1.519885745,-2.689930366,-0.818132818,1.746676823,1.656921237,23.55113
-2.363710214,-1.017597562,2.892259935,1.931539753,-2.743621588,-0.961924432,2.542529365,2.205198438,18.53474
-2.989509196,-1.499744326,4.35168365,2.697760369,-3.087500861,-1.39653536,4.338504765,2.661089381,18.88356
-2.377837134,-1.164160181,3.413299601,2.130216562,-2.578937851,-1.206257131,3.727591169,2.293847871,17.82759
0.138777092,0.10299729,0.138777092,0.10299729,0.21024926,0.164248292,0.21024926,0.164248292,0
0.132540039,0.099668904,0.132540039,0.099668904,0.143398357,0.112774627,0.143398357,0.112774627,0
-1.881930201,-0.783915561,2.894564836,1.90104912,-1.872171173,-0.836105625,2.84253575,1.691079501,12.64504
-2.286800722,-1.014222083,3.041984466,1.952956678,-2.195066107,-1.01296329,2.910498461,1.894658593,16.47091
-2.593002548,-1.140375462,3.2440073,2.129702898,-2.684941768,-1.112130757,3.256342192,2.120226452,18.76528
-3.273534274,-2.096431131,6.473366923,3.264638492,-3.747533526,-2.162403826,5.732388566,3.363238697,23.9022
-2.866336594,-1.443597552,4.136505323,2.52678977,-3.047271896,-1.550773118,4.448299199,2.680715405,19.27734
0.145880926,0.107802851,0.145880926,0.107802851,0.112375962,0.082908635,0.112375962,0.082908635,0
-2.890436212,-1.533552879,4.326267377,2.476321327,-2.902706387,-1.553363457,4.211295492,2.416508808,22.1605
-2.047913847,-0.802451431,2.117645254,1.57829528,-2.084051093,-0.772835649,1.993565226,1.661811371,18.59519
-3.850454199,-1.732812059,4.316637484,2.954131821,-3.730235438,-1.891694642,5.056051861,3.006602257,22.78467
-2.618126347,-1.159184674,2.920744298,1.992695099,-3.031225588,-1.143168352,2.425656279,2.207823778,24.59906
-1.97358087,-0.872384827,2.346042832,1.497564581,-2.085589085,-0.88332103,2.313730067,1.471289549,23.14051
-1.408937711,-0.473830013,1.516123923,1.17707882,-1.068381288,-0.425480942,1.585330415,1.056229812,14.60524
0.139880205,0.102384813,0.139880205,0.102384813,0.182942849,0.13739352,0.182942849,0.13739352,0
-4.591180631,-2.398784449,6.290291015,3.677058696,-4.683500766,-2.494098613,6.760468327,3.913148395,25.2657
-3.136205361,-1.610975928,4.452615973,2.547513681,-3.003802249,-1.518066137,4.329993436,2.491480583,22.52452
-3.496305997,-1.623457502,4.372580505,2.680651086,-3.599407958,-1.591540252,4.436536753,2.767467163,22.42667
-3.0428897,-1.301242937,3.421531638,2.44506828,-3.210780224,-1.359301244,3.68485714,2.65993646,18.9854
0.155597592,0.11442762,0.155597592,0.11442762,0.145269483,0.10736199,0.145269483,0.10736199,0
-1.825686455,-0.716894092,2.065454713,1.418797739,-1.917925029,-0.72860414,1.913055497,1.490460139,16.72554
-2.439114645,-1.177619151,3.413499758,2.095567859,-2.867170021,-1.301099018,3.712987941,2.307854842,18.13867
