Mr_t_exp,Mt_t_exp,Mr_c_exp,Mt_c_exp,Mr_t,Mt_t,Mr_c,Mt_c,ecc
-2.030027506,-0.79961051,2.019677441,1.564417161,-2.084051093,-0.772835649,1.993565226,1.661811371,18.59519
-3.628202188,-1.726845296,4.542814976,2.86115859,-3.730235438,-1.891694642,5.056051861,3.006602257,22.78467
-2.61206143,-1.164669138,2.81519835,2.008011812,-3.031225588,-1.143168352,2.425656279,2.207823778,24.59906
-2.03265022,-0.904842662,2.32825268,1.507172321,-2.085589085,-0.88332103,2.313730067,1.471289549,23.14051
-1.417088701,-0.475179932,1.528753996,1.145230608,-1.068381288,-0.425480942,1.585330415,1.056229812,14.60524
0.145372788,0.107690002,0.145372788,0.107690002,0.182942849,0.13739352,0.182942849,0.13739352,0
-4.430476343,-2.274172882,6.093760079,3.576387767,-4.683500766,-2.494098613,6.760468327,3.913148395,25.2657
-3.257450418,-1.615548981,4.447400686,2.630014649,-3.003802249,-1.518066137,4.329993436,2.491480583,22.52452
-3.498379258,-1.703573703,4.531075845,2.75955315,-3.599407958,-1.591540252,4.436536753,2.767467163,22.42667
-2.942437819,-1.30378328,3.505764402,2.408244801,-3.210780224,-1.359301244,3.68485714,2.65993646,18.9854
0.131576746,0.096316836,0.131576746,0.096316836,0.145269483,0.10736199,0.145269483,0.10736199,0
-1.839767041,-0.737108555,1.976938643,1.439243927,-1.917925029,-0.72860414,1.913055497,1.490460139,16.72554
-2.553192668,-1.148593173,3.271078654,2.157033392,-2.867170021,-1.301099018,3.712987941,2.307854842,18.13867
0.137997732,0.103846233,0.137997732,0.103846233,0.120835255,0.093866546,0.120835255,0.093866546,0
-2.747975204,-1.286658777,3.796929757,2.32886832,-2.985498955,-1.336933812,3.763752042,2.292228492,18.15842
-3.203978777,-2.047642579,6.239810052,3.208688014,-3.020157372,-2.084516263,6.850696296,3.154029557,23.10311
-4.056465561,-2.12553959,5.700427879,3.263419188,-4.310458362,-2.253115545,5.514326305,3.311400154,24.65976
-1.245077943,-0.394096576,1.405475367,1.065448028,-1.125400942,-0.469449667,1.462241642,0.98143757,12.65613
-2.701762277,-1.216366451,3.093646333,2.002281352,-2.536795138,-1.177512121,3.040812569,1.878353788,23.28433
-1.781405595,-0.748886573,2.057396225,1.382035851,-1.559205785,-0.694900611,2.121326317,1.323816806,19.94448
-2.294349127,-0.871727221,2.192258026,1.757235622,-2.426597187,-0.800488423,2.076564817,1.796347861,19.55759
-1.607560601,-0.637736761,2.642281736,1.792960141,-1.668895991,-0.582129987,2.678274377,1.953302333,10.53869
0.130937978,0.096536776,0.130937978,0.096536776,0.121404373,0.090704795,0.121404373,0.090704796,0
0.168487793,0.126863427,0.168487793,0.126863427,0.188266509,0.141367489,0.188266509,0.141367489,0
-2.793849632,-1.677873217,5.152369003,2.71345521,-2.597921984,-1.560792561,4.871256667,2.537656471,21.82935
0.136310058,0.102001415,0.136310058,0.102001415,0.134433279,0.098118057,0.134433279,0.098118057,0
0.141331598,0.108894801,0.141331598,0.108894801,0.162547724,0.126152217,0.162547724,0.126152217,0
-2.115398205,-0.876014358,2.272617951,1.724155223,-2.380330753,-0.893628191,1.909714709,1.80991337,17.65903
-3.152824388,-2.158242818,6.413588368,3.245266626,-3.213564012,-2.168238565,6.081644477,3.250490989,23.88442
0.12217992,0.086666074,0.12217992,0.086666074,0.108477372,0.074530633,0.108477372,0.074530633,0
-2.721970109,-1.294483461,3.426449255,2.161553128,-2.251836771,-1.257949262,3.473812774,1.898526563,22.6272
-2.78908998,-1.350479132,4.138402166,2.462289069,-2.817373715,-1.413830002,4.141485209,2.362904913,16.46495
0.182287978,0.138788637,0.182287978,0.138788637,0.16417437,0.124805698,0.16417437,0.124805698,0
-1.605684027,-0.481004138,1.382864262,1.234243526,-1.785864403,-0.468480291,0.896417479,1.173335531,14.8372
0.134322078,0.099692163,0.134322078,0.099692163,0.109051366,0.079089578,0.109051366,0.079089578,0
-1.233094901,-0.380683112,1.203188005,1.019386824,-1.074317468,-0.401395164,1.449382714,0.897644586,13.57181
-1.953057526,-0.769771641,2.291694396,1.677068065,-2.084345368,-0.809861389,2.199456775,1.599784358,16.04674
-1.772559875,-0.611361419,2.200876463,1.699998822,-1.917579521,-0.605233453,2.557120566,1.965033096,11.87947
0.141046084,0.107757353,0.141046084,0.107757353,0.12510231,0.096675544,0.12510231,0.096675544,0
-3.288756511,-1.822275957,5.42366149,2.976512695,-3.525016441,-1.895323036,4.99256292,2.968309818,19.96641
